time_h,C_plasma_hair,C_plasma_nohair,C_plasma_occluded,C_SC,C_VE,C_follicle,C_dermis,J_transcellular,J_follicle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20000000.0
0.01200600300150075,1.1536119158457472,2.490183155218844e-10,1.5638439174196617,0.0002120695723804085,0.0017153118112179203,1.3391132106792356,0.8519904706710427,14.586918163617785,4884929.512205957
0.0240120060030015,3.7832586792907517,3.7010410463265904e-09,4.756229116025715,0.0003913792037788892,0.005618657468380659,1.5056140605212627,1.2679708147318476,13.888762171396118,2383087.9497882985
0.03601800900450225,7.125232884083745,1.7464796467927704e-08,8.494082594450077,0.0005790622320617151,0.010570133184018308,1.5864406003788436,1.470153125409638,13.531756871016567,1166102.531394615
0.048024012006003,10.808054054636436,5.16199234053578e-08,12.409806489380541,0.0007870858734874367,0.016016786844371834,1.6255923400288073,1.5683368921185419,13.338096936718312,574114.9453073025
0.060030015007503754,14.651046262034681,1.1821817789305366e-07,16.378660120278646,0.0010158296175216282,0.021690708757793727,1.64447214739148,1.6159323316693486,13.222162473809194,286147.5418510162
0.0720360180090045,18.566347342792003,2.306077924618711e-07,20.358334886575616,0.001261795676142236,0.027462312766646964,1.6534910938859713,1.6389199751537928,13.142894255989583,146066.01635571482
0.08404202101050526,22.511242651042224,4.029762385158067e-07,24.33450183852145,0.001520791004783663,0.033269073794278674,1.6577134830679514,1.649937654951524,13.080718302947913,77921.2489621095
0.096048024012006,26.464978775444266,6.500412041376731e-07,28.302328661885554,0.0017890902795505974,0.03908093601792009,1.6596027656335912,1.6551328351342425,13.026382883393724,44769.00381636284
0.10805402701350675,30.41748478069068,9.868414846571656e-07,32.26020640181721,0.0020637411510348097,0.04488353495409163,1.6603572592155298,1.6574958661099455,12.97557004996084,28638.20050271526
0.12006003001500751,34.36388595727355,1.4285957618127507e-06,36.20762006331932,0.0023425364238794043,0.050670069436046156,1.6605598587138475,1.6584813574399544,12.926302772726789,20787.163545892272
0.13206603301650827,38.301835287655756,1.9906072381819764e-06,40.14442572150106,0.0026238812640577793,0.05643737053223914,1.6604940793366827,1.6587968201667953,12.877702839894791,16964.00931321618
0.144072036018009,42.230214746674015,2.688199298855023e-06,44.070605259794085,0.002906647767270625,0.062184003591633216,1.660297861732226,1.658786476891054,12.829399291794608,15100.050875123117
0.15607803901950976,46.148504243277664,3.5366721704666817e-06,47.986183085970445,0.003190049625227209,0.0679093562748687,1.660038300539538,1.6586177613116353,12.781249716040335,14189.064700480536
0.16808404202101052,50.05647444385652,4.5512738260362256e-06,51.89119783832195,0.0034735441544251297,0.0736132015888703,1.6597480251538808,1.6583720997837361,12.733210497634468,13741.70138930486
